correct,error
author,autor
autobiographic,authobiographic
autobiography,authobiography
auxiliary,auxilliary
available,avalable
available,avaliable
averaged,averageed
aviation,avation
away,awya
awkward,ackward
back,bakc
back,bcak
backward,ackward
bandwidth,bandwith
bankruptcy,bankrupcy
barbecue,barbeque
basically,basicaly
basically,basicly
beautiful,beatiful
beautiful,beautyfull
became,becamae
because,beacuse
because,becasue
because,becouse
because,becuase
becoming,becomming
before,befoer
begging,beggin
begin,beggin
beginner,begginer
beginners,begginers
beginning,beggining
beginning,begining
beginning,beginnig
beginnings,begginings
behavior,behavour
behaviour,behavour
belief,beleif
beliefs,belives
believe,beleive
believed,beleived
believes,beleives
believes,belives
believing,beleiving
beneficial,benificial
beneficiary,beneficary
benefit,benifit
benefits,benifits
besiege,beseige
besieged,beseiged
besieging,beseiging
bestiality,beastiality
between,vetween
bilaterally,bilateraly
binomial,binominal
blame,blaim
blamed,blaimed
blessing,blessure
boat,boaut
boundary,bondary
boundary,boundry
bout,baout
bout,boaut
breakthrough,breakthough
brilliant,briliant
broadly,broady
buffaloes,buffalos
buffalos,buffaloes
bureaucracy,beaurocracy
burin,buring
burning,buring
burying,buring
business,buisness
business,busineses
business,busness
businesses,busineses
caisson,casion
calculate,caluclate
calculate,caluculate
calculate,calulate
calculated,caluclated
calculated,caluculated
calculated,calulated
calendar,calender
calligraphy,caligraphy
campaign,campain
campaigns,campains
can't,cant
candidate,candadate
canister,cannister
canisters,cannisters
canonical,cannonical
cant,cant
capability,caperbility
carcass,carcas
caring,careing
carnivorous,carniverous
cartilage,cartilege
cartilage,cartilidge
cartographer,carthographer
cartridge,cartrige
cassette,casette
cassowary,cassawory
cassowary,cassowarry
casualties,casulaties
casualties,causalities
casualty,casulaty
categories,catagories
category,catagory
caterpillar,catterpilar
caterpillars,catterpilars
catholic,cathlic
cemeteries,cemetaries
cemetery,cemetarey
cemetery,cemetary
censor,censur
censure,censur
censure,sensure
census,cencus
centuries,centruies
century,centruy
ceremonial,cerimonial
ceremonies,cerimonies
ceremonious,cerimonious
ceremony,cerimony
certain,ceratin
certainty,certainity
cervical,cervial
chairman,chariman
character,carachter
character,charachter
characteristics,charistics
characterized,charaterized
characters,charachters
charismatic,carismatic
chase,chasr
chaser,chasr
cheat,sheat
chemical,chemcial
chemically,chemcially
chemically,chemicaly
chemistry,chemestry
chief,cheif
childbirth,childbird
children's,childrens
chosen,choosen
church,curch
circuit,ciricuit
civilian,civillian
claims,claimes
clear,claer
clear,clera
clearance,cleareance
clearer,claerer
clearly,claerly
clinical,clincial
clinically,clinicaly
cloud,coudl
coast,caost
collateral,colateral
colleague,collegue
colleagues,collegues
collectible,collectable
colonies,collonies
colonnade,collonade
colony,collony
coloration,colouration
colossal,collosal
colouration,coloration
comeback,comback
coming,comming
commandeer,comander
commander,comander
commando,comando
commandos,comandos
commandos,commandoes
commemorated,commmemorated
commemorative,commemerative
commercial,commericial
commercially,commericially
commission,comision
commission,comission
commission,commision
commissioned,comisioned
commissioned,comissioned
commissioned,commisioned
commissioner,comisioner
commissioner,comissioner
commissioner,commisioner
commissioning,comisioning
commissioning,comissioning
commissioning,commisioning
commissions,comisions
commissions,comissions
commissions,commisions
committed,comited
committed,comitted
committed,commited
committee,comittee
committee,commitee
committee,committe
committing,comiting
committing,comitting
committing,commiting
commonly,commongly
communication,communciation
comparative,comparitive
comparison,comparision
compatibility,compatiblity
competence,competance
competent,competant
competent,compitent
competition,competion
competitive,competive
compiler,complier
completion,competion
comprehensive,comphrehensive
compromise,comprimise
concentrate,consentrate
concentrated,consentrated
concentrates,consentrates
concept,consept
concern,consern
concerned,conserned
concerning,conserning
condemned,condemmed
condition,condidtion
conditions,condidtions
confidential,confidental
confidentially,confidentally
conform,coform
congressional,congresional
conjecture,conjecutre
connived,conived
connotation,cannotation
connotations,cannotations
conqueror,conquerer
conquerors,conquerers
conscious,concious
consciously,conciously
consciousness,conciousness
consensus,concensus
consent,conscent
conservative,conservitive
consider,concider
consider,consdider
considered,concidered
considered,consdidered
considered,considerd
considers,conciders
consolidate,consolodate
consolidated,consolodated
consonant,consonent
consonants,consonents
consortium,consorcium
constant,constatn
constantly,constanly
constituencies,consituencies
constituency,consituency
constituent,constituant
constituents,constituants
constitution,consitution
constitution,constituion
constitution,costitution
constitutional,consitutional
constitutional,constituional
constraints,constaints
construction,constuction
consummate,consumate
consummated,consumated
contains,containes
contains,countains
contaminate,contaiminate
contemporaneous,contemporaneus
contemporaries,contamporaries
contemporary,contamporary
contemporary,contemporaneus
continuing,continueing
continuous,continous
continuously,continously
contributor,contributer
contributors,contributers
control,controll
controlled,controled
controlling,controling
controls,controlls
controversial,contravercial
controversial,controvercial
controversies,controveries
controversy,contraversy
controversy,controvercy
controversy,controvery
convenient,conveinent
convenient,convienient
conventional,convential
conversion,convertion
converted,coverted
converter,convertor
converters,convertors
conveyor,conveyer
cooperation,coorperation
coordination,coordiantion
copy,cpoy
copyright,copywrite
corporate,corparate
corporation,coorperation
correspond,corrispond
corresponded,corrisponded
correspondent,correspondant
correspondent,corrispondant
correspondents,correspondants
correspondents,corrispondants
corresponding,correponding
corresponding,correposding
corresponding,corrisponding
corresponds,corrisponds
corrosion,corosion
could,coudl
could,sould
councillor,councellor
councillors,councellors
counsellor,councellor
counsellors,councellors
counselor,councellor
counselors,councellors
countries,ocuntries
country,ocuntry
courier,coururier
couturier,coururier
covenant,convenant
covered,coverted
coveted,coverted
coy,cpoy
created,creaeted
criterion,critereon
criticise,critisize
criticised,critisized
criticises,critisizes
criticising,critising
criticising,critisizing
criticism,critisism
criticisms,critisisms
criticize,critisize
criticized,critisized
criticizes,critisizes
criticizing,critising
criticizing,critisizing
critics,criticists
crucifixion,crucifiction
cruises,crusies
culminating,culiminating
cumulative,cumulatative
currently,currenly
cyan,cxan
dahl,dael
daub,doub
de_rigueur,de_rigeur
deal,dael
debatable,debateable
deceived,decieved
decidable,decideable
decide,deside
decidedly,decidely
deciduous,ecidious
decipher,decypher
deciphered,decyphered
decision,descision
decisions,descisions
decompose,decomposit
decomposed,decomposited
decomposes,decomposits
decomposing,decompositing
defiance,definance
define,deffine
defined,deffined
definite,definate
definite,definit
definitely,definately
definitely,definatly
definitely,definetly
definitely,definitly
deities,dieties
deity,diety
demeanor,damenor
demeanor,demenor
demeanour,damenor
demeanour,demenor
demographic,demographical
denigrating,denegrating
dependence,dependance
dependency,dependancy
dependent,dependant
derived,deriviated
derived,dirived
derogatory,derogitory
descendant,decendant
descendant,descendent
descendants,decendants
descendants,decendents
descendants,descendents
describe,decribe
describe,discribe
described,decribed
described,discribed
describes,decribes
describes,discribes
describing,decribing
describing,discribing
desiccated,dessicated
designed,desgined
designed,dessigned
desirable,desireable
despair,dispair
desperate,desparate
desperation,despiration
despicable,dispicable
despite,dispite
destroy,stroy
destructive,distructive
detached,detatched
detailed,detailled
determining,determinining
detrimental,detremental
develop,develope
developed,developped
development,devolopement
device,divice
dial,dael
didn't,didnt
die,diea
different,diferent
different,diferrent
different,diffrent
difficulties,dificulties
difficulty,dificulty
dimension,dimention
dimensions,dimenions
dimensions,dimentions
diphthong,diphtong
diphthong,dipthong
diphthongs,diphtongs
diphthongs,dipthongs
directly,driectly
disagreement,dissagreement
disappear,dissapear
disappear,dissappear
disappeared,dissapeared
disappearing,dissapearing
disappears,dissapears
disappears,dissappears
disapproval,disaproval
disaster,diaster
disastrous,disasterous
discontent,discontentment
discover,dicover
discovered,dicovered
discovering,dicovering
discovers,dicovers
discovery,dicovery
discuss,descuss
disintegrated,desintegrated
disintegration,desintegration
disobedience,disobediance
disobedience,dissobediance
disobedience,dissobedience
disobedient,disobediant
disobedient,dissobediant
disobedient,dissobedient
disparagingly,disparingly
disparate,desparate
dispense,dispence
dispensed,dispenced
dispensing,dispencing
dissatisfaction,disatisfaction
dissatisfied,disatisfied
dissemination,disemination
dissolved,disolved
distinguish,distingish
distinguished,distingished
distinguishes,distingishes
distinguishing,distingishing
diverged,diversed
diverse,diversed
divide,devide
divided,devided
division,divison
divisions,divisons
document,doccument
documented,doccumented
documents,doccuments
does,doens
doesn't,doesnt
doing,doign
doing,donig
dominant,dominent
dominant,dominiant
doubt,doub
dram,deram
dramatic,dramtic
dream,deram
dreams,dreasm
dressing,adressing
drink,drnik
drumming,druming
dukedom,dukeship
during,buring
during,durring
dyeing,dieing
dying,dieing
earned,earnt
eclectic,electic
eclipse,eclispe
efficient,effecient
efficient,efficent
efficiently,effeciently
efficiently,efficently
effluence,effulence
effort,affort
effort,efford
efforts,effords
eighth,eigth
election,electon
electric,electic
electrical,electrial
electrically,electricly
electricity,electricty
electron,electon
elementary,elimentary
elephant,elphant
elicited,elicided
eligible,eligable
eliminated,eleminated
eliminating,eleminating
else,esle
emanate,eminate
embarrass,embarass
embarrass,embarras
embarrassed,embarassed
embarrassed,embarrased
embarrassing,embarassing
embarrassing,embarrasing
embarrassment,embarassment
embarrassment,embarrasment
embezzled,embezelled
emigrant,imigrant
emigrated,emmigrated
emigrated,imigrated
emigration,imigration
eminent,emminent
eminent,imanent
eminent,iminent
eminently,emminently
emissaries,emmisaries
emissaries,emmisarries
emissary,emmisarry
emissary,emmisary
emission,emision
emission,emition
emission,emmision
emitted,emited
emitted,emmited
emitted,emmitted
emitting,emiting
emitting,emmiting
emitting,emmitting
emotion,emition
emphysema,emphysyma
empirical,emperical
empirical,empirial
enamored,enamoured
enamoured,enamored
encryption,encryptiion
engineer,engeneer
engineer,engieneer
engineering,engeneering
engineers,engieneers
enlargement,enlargment
enlargements,enlargments
enlist,Enlish
enmity,emnity
enormous,enourmous
enormously,enourmously
entertaining,intertaining
entrepreneur,entrepeneur
entrepreneurs,entrepeneurs
enumerable,inumerable
environment,enviorment
environment,enviornment
environment,enviroment
environmental,enviormental
environmental,enviornmental
environmental,enviromental
environmentalist,enviornmentalist
environmentalist,enviromentalist
environmentally,enviormentally
environmentally,enviornmentally
environmentally,enviromentally
environments,enviorments
environments,enviornments
environments,enviroments
equatorial,equitorial
equilibrium,equilibium
equilibrium,equilibrum
equipment,equippment
equipped,equiped
erected,erested
erratic,eratic
erratically,eraticly
essence,essense
essential,esential
essential,essencial
essential,essentual
essential,essesital
ethos,ethose
every,eveyr
evidently,evidentally
evil,efel
exacerbate,exerbate
exacerbated,exerbated
exaggerate,exagerate
exaggerate,exagerrate
exaggerated,exagerated
exaggerated,exagerrated
exaggerates,exagerates
exaggerates,exagerrates
exaggerating,exagerating
exaggerating,exagerrating
exalted,exhalted
example,exemple
example,exmaple
exceeded,excedded
excel,excell
excellent,exelent
excels,excells
excerpt,exerpt
excerpts,exerpts
execute,excecute
executed,excecuted
executes,excecutes
executing,excecuting
execution,excecution
exempt,exampt
exerted,extered
exhibition,exibition
exhibitions,exibitions
existence,existance
existent,existant
exoskeleton,exoskelaton
expects,spects
expel,expell
expels,expells
explain,expalin
exploitative,exploititive
extant,extint
external,exerternal
extinct,extint
extraordinarily,extrordinarily
extraordinary,extrordinary
extraterrestrial,extraterrestial
extravagant,extravagent
eyas,eyars
facilitate,faciliate
facilitated,faciliated
famous,famoust
fanaticism,fanatism
fascinated,facinated
feasible,feasable
feel,fiel
feels,fiels
fictitious,ficticious
fictitious,fictious
field,fiel
fields,fiels
filament,filiament
file,fiel
files,fiels
finally,fianlly
finally,finaly
financially,financialy
find,fidn
first,firts
fled,fleed
flirts,firts
flourish,fluorish
fluorescent,florescent
forbade,forbad
forehead,forhead
foreign,foriegn
foremost,formost
forerunner,forunner
forfeit,forfiet
form,fomr
formalize,formallize
formalized,formallized
forty,fourty
fought,faught
fought,fougth
found,foudn
foundries,foundaries
foundry,foundary
freed,fleed
friend,freind
friends,firends
from,fomr
fundamental,fundametal
fundamentals,fundametals
fungi,funguses
further,furuther
gale,gae
game,gae
gases,gasses
genealogies,geneologies
genealogy,geneology
generally,generaly
genitalia,genialia
goddess,godess
goddesses,godesses
going,gogin
going,goign
going,gonig
going,oging
gourd,gaurd
government,goverment
government,govorment
governmental,govermental
governmental,govormental
governor,gouvener
governor,governer
graffiti,grafitti
grammar,grammer
grammatically,gramatically
grammatically,grammaticaly
grateful,greatful
gratefully,greatfully
gratuitous,gratuitious
great,gerat
great,graet
great,grat
grief,greif
group_sex,groupsex
grow,grwo
guanine,gunanine
guarantee,guarentee
guaranteed,garanteed
guaranteed,guarenteed
guaranteed,guranteed
guarantees,guarentees
guard,gaurd
guerilla,guerrila
guerillas,guerrilas
guerrilla,guerrila
guerrillas,guerrilas
guidance,guidence
guttural,guttaral
guttural,gutteral
habeas,habaeus
habeas,habeus
happen,ahppen
happen,hapen
happened,hapened
happened,happended
happening,hapening
harass,harras
harass,harrassing
harassed,harased
harassed,harrased
harasses,harases
harasses,harrases
harassing,harrasing
harassment,harasment
harassment,harrasment
hare,hace
have,ahev
have,ahve
have,haev
have,hvae
have,hvea
having,hvaing
heave,haev
heave,hvea
heritage,inheritage
heroes,heros
heterogeneous,heterogenous
holy,wholy
hydrophilic,hydropilic
hydrophobic,hydropobic
hygiene,hygeine
hypocrisy,hypocracy
hypocrisy,hypocrasy
hypocrisy,hypocricy
hypocrite,hypocrit
hypocrites,hypocrits
iconoclastic,iconclastic
idea,diea
idea,idae
ideas,idaes
ideas,idesa
identical,identicial
ideologies,idealogies
ideology,idealogy
ides,idesa
idiosyncratic,ideosyncratic
illegitimacy,illegimacy
illegitimate,illegitmate
illogical,ilogical
illusion,alusion
illusion,illution
imagery,imaginery
imaginary,imagenary
imaginary,imaginery
imagine,imagin
imbalance,inbalance
imitate,immitate
imitated,immitated
imitating,immitating
imitator,immitator
immanent,iminent
immediately,emmediately
immediately,imediately
immediately,immediatley
immediately,immidately
immediately,immidiately
immense,imense
immigrant,imigrant
immigrant,inmigrant
immigrants,inmigrants
immigrated,imigrated
immigration,imigration
imminent,emminent
imminent,imanent
imminent,iminent
impeach,inpeach
impedance,impedence
imperial,empirial
impolite,inpolite
imprisonment,inprisonment
improvisation,improvision
in_spite,inspite
inaccessible,inaccessable
inappropriate,inappropiate
incompatibility,incompatiblity
incompetence,incompetance
incompetent,incompetant
incorporation,incorperation
incorruptible,incorruptable
incredible,increadible
incredible,incredable
incunabula,incunabla
indefinitely,indefinately
indefinitely,indefinitly
independence,independance
independence,independece
independent,independant
independent,indipendent
independent,indpendent
independently,indepedantly
independently,independantly
independently,indipendently
independently,indpendently
indict,indite
indispensable,indispensible
indisputable,indisputible
indisputably,indisputibly
indulge,indulgue
industrial,indutrial
inevitable,inevatible
inevitable,inevitible
infectious,infectuous
infiltrate,infilitrate
infiltrated,infilitrated
infinite,infinit
inflammation,inflamation
influenced,influented
influential,influencial
information,infomation
ingredients,ingreediants
inhabitant,habitant
inhabitants,habitants
inheritance,inheritage
initiation,initation
innocence,inocence
innumerable,inumerable
insidious,ecidious
insistence,insistance
instance,instatance
instead,instade
institution,insitution
institutions,insitutions
integrated,intergrated
integration,intergration
intellectual,intelectual
intelligence,inteligence
intelligent,inteligent
interbred,interbread
interbreed,interbread
interchangeably,interchangably
interest,intrest
international,internation
interpret,interpet
interregnum,interrugum
interrelated,interelated
interrupt,interupt
into,inot
introduce,inctroduce
introduced,inctroduced
intuitive,intutive
intuitively,intutively
inventor,inventer
invertebrates,invertibrates
involvement,involvment
ironically,ironicly
irrelevant,irelevent
irresistible,iresistable
irresistible,iresistible
irresistible,irresistable
irresistibly,iresistably
irresistibly,iresistibly
irresistibly,irresistably
irritable,iritable
irritated,iritated
isn't,isnt
jeopardy,jeapardy
journeys,journies
judicial,judical
judiciary,judisuary
just,jstu
just,jsut
keratin,ceratin
kindergarten,kindergarden
know,knwo
know,konw
know,kwno
know,nkow
know,nkwo
knowledge,knowlege
knowledgeable,knowledgable
knowledgeable,knowlegeable
knows,knwos
knows,konws
laboratory,labratory
laid,layed
language,laguage
languages,laguages
larvae,lavae
last,lsat
lavatory,labatory
leaf,lief
lean,leanr
leaner,leanr
learn,leanr
learn,leran
learns,lerans
led,leaded
legitimate,legitamate
leisure,liesure
length,lenght
level,levle
levitate,levetate
levitated,levetated
levitates,levetates
levitating,levetating
liable,lible
liaison,liason
libel,libell
libel,lible
library,libary
licence,lisence
licence,lisense
license,lisence
license,lisense
licensed,licenced
licensing,licencing
lieutenant,leutenant
life,lief
light_year,lightyear
light_year,lightyears
like,liek
like,liuke
liked,liekd
likelihood,likelyhood
linguistic,libguistic
linguistics,libguistics
liquefy,liquify
literature,litature
literature,literture
little,littel
lively,livley
loneliness,lonelyness
lonely,lonley
lonely,lonly
losing,loosing
lot,alot
love,loev
love,lveo
love,lvoe
lying,lieing
made,maked
magnolia,magolia
maintenance,maintainance
maintenance,maintainence
maintenance,maintance
maintenance,maintenence
majority,marjority
make,amke
make,mkae
make,mkea
makes,makse
makes,mkaes
making,amking
making,mkaing
mammal,mamal
mammalian,mamalian
management,managment
maneuver,manouver
maneuver,manuever
maneuverability,manoeuverability
maneuverability,manouverability
maneuverable,manouverable
maneuvers,manouvers
maneuvers,manuevers
manoeuvrability,manoeuverability
manoeuvrability,manouverability
manoeuvrable,manouverable
manoeuvre,manouver
manoeuvre,manuever
manoeuvres,manouvers
manoeuvres,manuevers
manufacture,manufature
manufactured,manufatured
manufacturing,manufaturing
mare,mear
marked,maked
marketing,marketting
marriage,marrage
marriage,marraige
married,marryied
mass_media,massmedia
mathematician,mathmatician
mathematicians,matheticians
mathematicians,mathmaticians
mathematics,mathamatics
mediaeval,medeival
medicine,medacine
medieval,medeival
member,memeber
mentioned,maintioned
mere,mear
messenger,messanger
metallic,metalic
metallurgic,metalurgic
metallurgical,metalurgical
metallurgy,metalurgy
metamorphosis,metamorphysis
midwives,midwifes
milieu,mileau
milieu,mileu
military,millitary
millennium,milennium
millennium,millenium
millipede,millepede
miniature,minature
ministry,ministery
minuscule,miniscule
miscellaneous,miscelaneous
miscellaneous,miscellanious
miscellaneous,miscellanous
mischievous,mischeivous
mischievous,mischevious
mischievous,mischievious
misdemeanor,misdameanor
misdemeanor,misdemenor
misdemeanors,misdameanors
misdemeanors,misdemenors
misdemeanour,misdameanor
misdemeanour,misdemenor
misdemeanours,misdameanors
misdemeanours,misdemenors
misogynist,mysogynist
misogyny,mysogyny
missel,missle
missile,misile
missile,missle
misspelling,mispelling
mizzen,missen
model,modle
moment,moent
monasteries,monestaries
monastery,monestary
monetary,monestary
money,moeny
monolithic,monolite
more,mroe
more,omre
mortgage,morgage
most_famous,famoust
motivated,motiviated
movie,movei
mucous,mucuous
municipalities,muncipalities
municipality,muncipality
murder,muder
murdering,mudering
muscles,muscels
mussels,muscels
myriad,myraid
myself,mysef
mysterious,misterious
mysterious,misteryous
mysterious,mysterous
mystery,mistery
natural,naturual
naturally,naturaly
naturally,naturely
naturally,naturually
necessarily,neccesarily
necessarily,neccessarily
necessarily,necesarily
necessarily,nessasarily
necessary,neccesary
necessary,neccessary
necessary,necesary
need,ened
negligible,neglible
negligible,negligable
negotiate,negociate
negotiation,negociation
negotiation,negotation
neighbor,neigbour
neighboring,neigbouring
neighbors,neigbours
neighbour,neigbour
neighbouring,neigbouring
neighbours,neigbours
next,enxt
nice,neice
nickel,nickle
niece,neice
nineteenth,ninteenth
ninety,ninty
ninth,nineth
no_one,noone
north,noth
northeastern,northereastern
northern,northen
northern,nothern
not,nto
not,onot
notable,noteable
notably,noteably
note,onot
noticeable,noticable
noticeable,noticible
noticing,noticeing
notoriety,noteriety
nouveau,noveau
nuclear,nucular
nuclear,nuculear
nuisance,nuisanse
nuisance,nusance
nutrient,nutritent
nutrients,nutritents
obedience,obediance
obedient,obediant
obstacle,obstacal
occasion,ocasion
occasion,ocassion
occasion,occassion
occasional,ocasional
occasional,ocassional
occasional,occassional
occasionally,ocasionally
occasionally,ocasionaly
occasionally,ocassionally
occasionally,occassionally
occasionally,occassionaly
occasioned,ocasioned
occasioned,ocassioned
occasioned,occassioned
occasions,ocasions
occasions,ocassions
occasions,occassions
occur,occurr
occur,ocurr
occurred,occured
occurred,ocurred
occurrence,occurance
occurrence,occurence
occurrence,occurrance
occurrence,ocurrance
occurrence,ocurrence
occurrences,occurances
occurrences,occurences
occurrences,occurrances
occurring,occuring
octahedral,octohedral
octahedron,octohedron
official,offical
officially,offically
officially,officaly
officially,officialy
ogling,oging
omission,omision
omission,ommision
omitted,omited
omitted,ommited
omitted,ommitted
omitting,omiting
omitting,ommiting
omitting,ommitting
omnivorous,omniverous
omnivorously,omniverously
one,noone
only,lonly
only,onyl
ophthalmic,opthalmic
ophthalmologist,opthalmologist
ophthalmologist,opthamologist
ophthalmology,opthalmology
opinion,oppinion
opponent,oponent
opportunity,oportunity
opposite,oposite
opposition,oposition
oppression,opression
oppressive,opressive
optimism,optomism
orally,erally
organ,orgin
organism,organim
origin,orgin
original,orginal
original,origional
originally,originaly
originally,originnally
originally,orignally
other,otehr
overshadowed,overshaddowed
overwhelming,overwelming
oxygen,oxigen
oxymoron,oximoron
paid,paide
paid,payed
palace,palce
pamphlet,pamplet
pantomime,pantomine
parakeets,parrakeets
parallel,paralel
parallel,paralell
parallel,parralel
parallel,parrallel
parallel,parrallell
paraphernalia,paraphenalia
parenthesis,paranthesis
parliamentarian,paliamentarian
particular,parituclar
particularly,particularily
passed,pased
pastime,pasttime
pastoral,pastural
patented,pattented
peculiar,peculure
pejorative,perjorative
penalty,penatly
peninsula,penninsula
peninsula,penninsular
peninsula,pennisula
peninsular,penninsular
people,peopel
perceived,percepted
perceived,percieved
performance,performence
performed,performes
performs,performes
perhaps,perhasp
perhaps,perheaps
perhaps,perhpas
perhaps,perphas
peripatetic,peripathetic
perjury,perjery
permanent,permenant
permissible,permissable
permission,premission
perpendicular,perpindicular
